Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"Hospitality & Events",Woman,"Professional Degree (Md, Jd, Etc.)",70312.50
"Hospitality & Events",Woman,"Some College",47746.73
"Household Services","Other or prefer not to answer","Master'S Degree",62400.00
"Household Services",Woman,"College Degree",44000.00
Hro,Woman,"College Degree",64000.00
"Human Resources",Woman,"College Degree",47106.67
"Human Resources",Woman,"Some College",57383.00
"Human Resources",Woman,Unknown,40000.00
"I Work For Indeed.Com",Woman,"College Degree",68000.00
Immigration,Woman,"College Degree",30057.00
"In-House Marketing",Woman,"College Degree",50328.00
"Individual & Family Services",Woman,"Master'S Degree",55920.00
Industrial,Man,"Some College",67000.00
Industrial,Woman,"Master'S Degree",90000.00
Industrial,Woman,"Some College",55000.00
"Information Services",Man,"College Degree",70000.00
"Information Services",Woman,"College Degree",74761.75
"Information Services",Woman,"Master'S Degree",67165.60
"Instructional Designer",Woman,"College Degree",92000.00
"Instructional Designer",Woman,"Master'S Degree",52000.00
Insurance,Man,"College Degree",100725.68
Insurance,Man,"High School",93243.75
Insurance,Man,"Master'S Degree",106033.90
Insurance,Man,Phd,100327.43
Insurance,Man,"Professional Degree (Md, Jd, Etc.)",24000.00
Insurance,Man,"Some College",81803.90
Insurance,"Other or prefer not to answer","College Degree",112287.70
Insurance,"Other or prefer not to answer","Master'S Degree",40764.85
Insurance,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",83200.00
Insurance,"Other or prefer not to answer","Some College",38059.00
Insurance,"Other or prefer not to answer",Unknown,35329.50
Insurance,Woman,"College Degree",78174.06
Insurance,Woman,"High School",56591.41
Insurance,Woman,"Master'S Degree",91230.29
Insurance,Woman,Phd,93269.00
Insurance,Woman,"Professional Degree (Md, Jd, Etc.)",105084.83
Insurance,Woman,"Some College",63704.63
Insurance,Woman,Unknown,87500.00
Intelligence,Woman,"College Degree",110000.00
"Interior Design","Other or prefer not to answer","College Degree",40000.00
"Interior Design",Woman,"Some College",41241.00
"Internal Communications",Woman,"College Degree",100800.00
